country,Date,Until,Headline,Description,Sources,MostPeaceful2023GPI
YE,2016.0,,Air raids damage wells in Yemen,"Five air raids leave wells damaged in Sirwah District, Marib, Yemen.",Yemen Data Project 2018,3.35
YE,2016.0,,Soqam dam damaged during air raids in Yemen,"The Soqam dam in Sirwah District, Marib, Yemen, is damaged during air raids.",Yemen Data Project 2018,3.35
YE,2016.0,,Water tank is hit during air raids in Yemen,"A water tank is hit by air raids in Al-Sab'ein District, Capital, Yemen.",Yemen Data Project 2018,3.35
YE,2016.0,,Water tank and pump are damaged by air raids in Yemen,"A water tank and pump are damaged by air raids in Al-Safra'a and Haydan Districts, Saada, Yemen.",Yemen Data Project 2018,3.35
YE,2016.0,,Water tank is damaged in air raid in Yemen,"A water tank is damaged in an air raid in Abs District, Hajjah, Yemen.",Yemen Data Project 2018,3.35
YE,2016.0,,Water tanks are hit in air raids in Yemen,"Water tanks are hit during air raids in Khadir and Al-Mawasit Districts, Taizz, Yemen.",Yemen Data Project 2018,3.35
YE,2016.0,,Air raids damage water project in Yemen,"An air raid causes damage to a water project in Razih District, Saada, Yemen.",Yemen Data Project 2018,3.35
YE,2016.0,,Three water trucks struck in air raids in Yemen,"Three water trucks are struck in air raids in Al-Mahabishah District, Hajjah, Yemen.",Yemen Data Project 2018,3.35
YE,2016.0,,Water barrier is damaged by air raid in Yemen,"A water barrier is damaged by an air raid in Al-Qubaytah District, Lahj, Yemen.",Yemen Data Project 2018,3.35
YE,2016.0,,Water tanks are hit in air raids in Yemen,"A water tank project and a water tank are hit during air raids in Harib and Sirwah Districts, Marib, Yemen.",Yemen Data Project 2018,3.35
YE,2016.0,,Al-Awadh dam is damaged in air raid in Yemen,"The Al-Awadh dam is damaged in an air raid in Radman District, Bayda, Yemen.",Yemen Data Project 2018,3.35
YE,2016.0,,Water factory is struck during air raids in Yemen,"The Al-Qis water factory is struck during two air raids in, Al-Hawta District, Lahj, Yemen.",Yemen Data Project 2018,3.35
YE,2016.0,,Water well is damaged by air raid in Yemen,"A water well is damaged in Harf Sufyan District, Amran, Yemen, by an air raid.",Yemen Data Project 2018,3.35
YE,2016.0,,Water well is damaged by air raid in Yemen,"A water well is damaged in Bilad Al-Rus District, Sanaa, Yemen by an air raid.",Yemen Data Project 2018,3.35
YE,2016.0,,Water pump is damaged in Yemen,"A water pump in Kitaf Wa Al-Boqe'e District, Sa'ada, Yemen, is damaged in the ongoing sub-national conflict.",Yemen Data Project 2018,3.35
YE,2016.0,,Main water tank is damaged in Yemen,"In Hayfan District, Taizz, a communities main water tank is damaged in the ongoing conflict in Yemen.",Yemen Data Project 2019,3.35
YE,2016.0,,Water well is damaged by air raid,"In Nihm District, Sanaa, a water well is damaged by an air raid in the ongoing conflict in Yemen.",Yemen Data Project 2019,3.35
YE,2016.0,,Several water pumps are hit by air raids in Yemen,"Several water pumps are hit during two air raids in Baqim District, Sa'ada, Yemen.",Yemen Data Project 2019,3.35
YE,2016.0,,Water tank is hit during air raids in Yemen,"A water tank is hit during three air raids in Al-Mahwit District, Al Mahwit, Yemen.",Yemen Data Project 2019,3.35
YE,2016.0,,Water project is attacked during air raids in Yemen,"A water project is struck during an air raid in Kitaf Wa Al-Boqe'e District, Saada, Yemen.",Yemen Data Project 2019,3.35
YE,2016.0,,Water driller is damaged by air raids in Yemen,"A water driller is damaged by ongoing air raids in Arhab District, Sanaa, Yemen.",Yemen Data Project 2019,3.35
YE,2016.0,,Water stations are hit during air raids in Yemen,"Water stations hit during air raids in Bila Al-Rus District, Sanaa, Yemen.",Yemen Data Project 2019,3.35
YE,2016.0,,Water driller is damaged in air raid in Yemen,"An air raid causes damage to a water driller in Sirwah District, Marib, Yemen.",Yemen Data Project 2019,3.35
YE,2016.0,,Desalination plant is hit by air raids in Yemen,"A desalination plant is hit during multiple air raids in Al Mokha District, Taizz, Yemen.",Yemen Data Project 2019,3.35
YE,2016.0,,Water tank is damaged in Yemen,"A water tank in Bani Sa'ad District, Al Mahwit, Yemen is damaged by the ongoing conflict.",Yemen Data Project 2019,3.35
YE,2016.0,,Desalination company is hit by air raid in Yemen,"An early morning air raid causes damage to a desalination company in Al Mokha District, Taizz, Yemen.",Yemen Data Project 2019,3.35
YE,2016.0,,Two dams are hit by air raids in Yemen,"The Al-Hayathim dam and the Mahalli dam were both struck during air raids in Nihm District, Sanaa, Yemen in early December.",Yemen Data Project 2019,3.35
YE,2016.0,,Multiple attacks damage water tanks in Yemen,"Water tanks are damaged over the course of several days in Kamaran District, Hudaydah, Yemen.",Yemen Data Project 2019,3.35
YE,2016.0,,Water well is hit during air raid in Yemen,"A water well is hit during an air raid in Asilan District, Shabwa, Yemen.",Yemen Data Project 2019,3.35
YE,2016.0,,Water driller is damaged over the course of four air raids,"Four air raids cause damage to a water driller in Al-Safra'a District, Saada, Yemen.",Yemen Data Project 2019,3.35
YE,2016.0,,Dam and water driller are damaged by air raids in Yemen,"The Al-Aqran dam and a water driller are hit during ongoing air raids in Nihm District, Sanaa, Yemen.",Yemen Data Project 2019,3.35
YE,2015.0,,Yemen's civil war leaves millions without access to drinking water,"The Yemeni Interior Ministry claims up to 4,000 people die annually from water-related violence including raids on wells and other fights over water access involving armed groups. A report from Yemen's pro-government newspaper estimates that 70-80% of conflicts in rural areas are about water. The UNFAO estimates that about 20 million Yemenis do not have access to drinking water because of the ongoing civil war.",Whitehead 2015,3.35
YE,2015.0,,Saudi Arabia destroys a water bottling plant in Yemen; kills dozens,"A plant is destroyed and 14 workers are killed in Yemen in an aerial bombing by a Saudi-led coalition. The Yemeni Defense Ministry claims the facility was a bottled water plant, while the Saudi-led coalition claims the facility was used to make bombs and train African migrants. Human Rights Watch finds no evidence the facility was anything except a bottling plant.",Fahim 2015,3.35
YE,2015.0,,Water tank is hit in an air raid in Yemen,"A water tank is damaged in air raids in Sa'ada District, Saada, Yemen.",Yemen Data Project 2018,3.35
YE,2015.0,,Water tank is hit in an air raid in Yemen,"A water tank is damaged in an air raid in Al-Sab'ein District, Capital, Yemen.",Yemen Data Project 2018,3.35
YE,2015.0,,Water tank is hit in an air raid in Yemen,"A water tank is damaged in an air raid in Craiter District, Aden, Yemen.",Yemen Data Project 2018,3.35
YE,2015.0,,Night air raid damages water project in Yemen,"An air raid damages a water project in Harad District, Hajjah, Yemen.",Yemen Data Project 2018,3.35
YE,2015.0,,Water supply well is attacked in Yemen,"A water supply well attacked in Al-Ashah District, Amran, Yemen.",Yemen Data Project 2018,3.35
YE,2015.0,,Water factory is hit in multiple air raids in Yemen,"The Adhban water factory is hit during three air raids that occured in August, in Sirwah District, Marib, Yemen.",Yemen Data Project 2018,3.35
YE,2015.0,,Water trucks are damaged in conflict in Yemen,"Water trucks are damaged during the conflict in Az Zuhrah District, Al Hudaydah, Yemen.",Yemen Data Project 2018,3.35
YE,2015.0,,A water truck is damaged in Yemen,"A water truck is damaged during the conflict in Amran District, Amran, Yemen",Yemen Data Project 2018,3.35
YE,2015.0,,Water project is hit in air raids in Yemen,"A water project in Majzar District, Marib, Yemen is hit during multiple evening air raids.",Yemen Data Project 2018,3.35
YE,2015.0,,Government water storage infrastructure is damaged in Yemen,"A government-owned water storage unit is damaged in night-time air raids in Dhamar City District, Dhamar, Yemen.",Yemen Data Project 2018,3.35
YE,2015.0,,State water utility infrastructure is attacked in Yemen,"A state run water utility is a casualty to the conflict in Yareem District, Ibb, Yemen.",Yemen Data Project 2018,3.35
YE,2015.0,,Irrigation canals are damaged in two attacks in Yemen,"Two attacks spanning a week in Al-Marawi'ah District, Hudaydah, Yemen leave irrigation canals damaged.",Yemen Data Project 2018,3.35
YE,2015.0,,Water infrastructure is attacked in Yemen,"A water project in Al-Sharyah District, Al Bayda, Yemen is damaged. On the same day in Al-Mahabishah
District, Hajja, water wells are also damaged in an air raid.",Yemen Data Project 2018,3.35
YE,2015.0,,Water truck is damaged in Yemen,"A water truck owned by an oil & gas company is damaged in the conflict in Haydan District, Saada, Yemen.",Yemen Data Project 2018,3.35
YE,2015.0,,State water corporation is damaged in Yemen,"A state water corporation is damaged in the conflict in Yemen, in Shibam Kawkaban District, Al Mahwit, Yemen.",Yemen Data Project 2018,3.35
YE,2015.0,,Air raids damage water wells in Yemen,"Multiple air raids over the course of a week damage water wells in Bakil Al-Mir and Hayran Districts, Hajjah, Yemen.",Yemen Data Project 2018,3.35
YE,2015.0,,Air raids damage water infrastructure in Yemen,"Multiple air raids over the course of two days damage water wells and a water factory in Sihar District, Saada, Yemen.",Yemen Data Project 2018,3.35
YE,2015.0,,Water drilling rig is damaged during conflict in Yemen,"A water drilling rig is damaged in Yemen, in the Haydan District, Saada.",Yemen Data Project 2018,3.35
YE,2015.0,,Air raid hits water well in Yemen,"An early morning air raid hits a water well in Al Mokha District, Taizz, Yemen.",Yemen Data Project 2018,3.35
YE,2015.0,,Air raid hits water well in Yemen,"A water well is damaged during an air raid in Razih District, Saada, Yemen.",Yemen Data Project 2018,3.35
YE,2015.0,,Air raid hits water well in Yemen,"A water well is damaged during an air raid in Mustaba District, Hajjah, Yemen.",Yemen Data Project 2018,3.35
YE,2013.0,,Violence escalates over water in Yemen,"The dwindling water supply from shared mountain springs leads to growing violence between Marzouh and Qaradh, Yemen. At least six deaths occur and many more are wounded in clashes since 2000. ""Wherever in Yemen you see aquifers depleting, you have the worst conflicts,"" said Abdul Rahman al-Eryani, former minister for water and environment, Yemen.",Friedman 2013,3.35
YE,2013.0,,Armed gang sabotages main water pipeline in Yemen,"An armed gang sabotages the main water pipeline from Sana'a to Ta'izz in al Hawjila, Ta'izz governorate on June 23.",Barakishnet 2013,3.35
YE,2011.0,,Yemen damages citizens' water tanks during uprising,"Violence in Yemen's capital Sana'a leads to ""acute water and power shortages, forcing residents to rely on power generators and buy water extracted from wells and sold on a thriving black market."" The violence arose during the Yemeni uprising that occurred during the Arab Spring protests across the Middle East. During the violence, government soldiers shelled neighborhoods and destroyed many rooftop water tanks.",Shah 2012,3.35
YE,2009.0,,One dead in South Yemen protest over water cuts,At least one Yemeni is killed and three wounded in clashes with police in Aden in southern Yemen over the cutting off of water.,Reuters 2009,3.35
YE,2008.0,,Water delivery pipelines destroyed in protest over water transfers,Pipelines are destroyed in Yemen by locals protesting the extraction of water in Abyan for piping to Aden.,Hall 2010,3.35
YE,2006.0,,Armed clashes in Yemen,"Local media report a struggle between Hajja and Amran tribes over a well located between the two governorates in Yemen. According to news reports, armed clashes between the two sides force many families to leave their homes and migrate. News reports confirm that authorities had arrested 20 people in an attempt to stop the fighting.",Al-Ariqi 2006,3.35
YE,1999.0,,Villagers killed in Yemen water clash,"Yemen sends 700 soldiers to quell fighting that claims six lives and injured 60 others in clashes that erupt between two villages fighting over a local spring near Taiz. The village of Al-Marzuh believes it is entitled to exclusive use of a spring because it is located on their land; the neighboring village of Quradah believes their right to the water was affirmed in a 50-year-old court verdict. The dispute erupts in violence. President Ali Abdullah Saleh intervenes by summoning the sheikhs of the two villages to the capital, and sorts out the problem by dividing the water into halves.",Al-Qadhi 2003,3.35
YE,1998.0,,Pipeline destroyed in attempt to pressure government to build water and power systems,"Yemeni tribesmen, thought to be from the Jahm tribe, attack and destroy a pipeline in the Marib province in order to pressure the national government to build water distribution systems and power plants in their region.",RAND Database of Worldwide Terrorism Incidents 2018,3.35
UA,2019.0,,"9 water workers killed, 26 injured, in ongoing conflict in disputed region of Ukraine",Nine water workers are killed and 26 are injured since the start of 2019 through July in the ongoing conflict in the disputed eastern region of the Ukraine. Additionally 58 sanitation facilities are damaged or destroyed.,UNICEF 2019,3.043
UA,2019.0,,"Shrapnel damages a water pipeline, leaving more than three million people without water","Shrapnel from an exploding shells damages a pipeline in the Siverski Donetsk-Donbass channel near Horlivka, Ukraine. The damages leave 3 million civilians on both sides of the conflict with either unreliable or no water supplies.",UNICEF 2019,3.043
UA,2018.0,,"The Donetsk Filter Station is attacked, affecting water supply to 350,000","Damage to the Donetsk Filter Station from shelling as well as gunfire directed at water station staff affects the reliability of water supply to approximately 350,000 people. This event is related to previous disruptions in water services from similar attacks in 2017.",Dymkovskyy 2018,3.043
UA,2014.0,,Ukraine accused of cutting water supply,"After Russia annexes Crimea from the Ukraine, they accuse the Ukraine of cutting off the water supply in the North Crimea Canal, leading to a water shortage for Crimea's agricultural fields growing grapes, rice, maize, and soya. The canal delivers water from the Dnieper River in southern Ukraine and accounts for 80% of Crimea's water supply. The Ukraine government denies any political motive for the cut in supply, describing the reduced flow as a temporary result of building a flow structure to measure water deliveries.",British Broadcasting Corporation (BBC) 2014a,3.043
UA,2018.0,,Attacks on water utilities and water infrastructure in the ongoing conflict in Ukraine cause water shortages for hundreds of tho,"Water shortages are reported by residents living in at least 20 communities near the line of conflict in the Donbas region of Ukraine. In spite of a ceasefire negotiated in 2014, the ongoing violence has damaged public utilities, leaving residents without water for days and weeks at a time.",REACH 2018,3.043
UA,2018.0,,"Water company truck hits landmine on the way to repair water pipes in Ukraine, injuring two","A water company truck driven by two employees strikes a land mine on its way to an emergency repair of damages to a water pipe due to attacks. Two water utility employees are injured. The water pipe services approximately 45,000 people with water.",UN Office for the Coordination of Humanitarian Affairs (UNOCHA) 2018a,3.043
UA,2017.0,,Nearly 3 million people left without reliable access to water supplies in Ukraine,"A long series of attacks on energy and water systems in the Ukraine has intermittently left nearly three million people without access to reliable water supplies. This has included repeated damage to the Donetsk Filtration Plant, the South Donbas water pipeline, energy plants that supply power to water treatment and distribution systems, and the Carbonit Water Pumping Station.",ReliefWeb 2017b,3.043
UA,2017.0,,Persistent attacks on water facility in eastern Ukraine leave millions without reliable safe water,Intentional and persistent attacks on critical electricity and water facilities in Eastern Ukraine leave millions without reliable access to safe water.,UN Office for the Coordination of Humanitarian Affairs (UNOCHA) 2017,3.043
UA,2015.0,,Ukrainian town loses water supply,Most of the villages and towns in the southwest portion of the Lugansk region in Ukraine lose access to their water supply after fighting damages a water main.,Agence France-Presse (AFP) 2015c,3.043
UA,2015.0,,A water filtration plant in the Ukraine is damaged,"During multiple attacks on the city of Shchastya, Ukraine, a water filtration station is hit. One person is killed and two others wounded during the attacks. While no group claims responsibility for the attacks, they are attributed to the Luhansk People's Republic.",National Consortium for the Study of Terrorism and Responses to Terrorism (START) 2018 ID. 201501140039,3.043
UA,2014.0,,"Water system in Donetsk, Ukraine damaged during conflict with Russia","During the conflict between the Ukraine and Russia, water systems for the city of Donetsk are damaged. The Donbas Water Company stops three pumping station from bringing water to the Siversky Donets-Donbas channel due to damages from the conflict.",Kiev Post 2014,3.043
UA,2014.0,,Water treatment facilities and a dam in the Ukraine are attacked,"Gunmen fire at a water filtration center, causing an unknown number of casualties. Landmines are planted at a dam in Bakhmut (formerly Artemivsk district), Donetsk Oblast, Ukraine. The outcome of the attack is not reported and no group claims responsibility, although it is attributed to the Donetsk People's Republic.",National Consortium for the Study of Terrorism and Responses to Terrorism (START) 2018 ID. 201407140120,3.043
UA,2014.0,,Water supply reservoir is attacked in Ukraine,The regional water utility company in the Donetsk Oblast province of eastern Ukraine reports that the reservoir in rebel-controlled Horlivka has been hit by shells. Two injuries are reported.,Naharnet Newsdesk 2014,3.043
UA,2022.0,,Conflict in Ukraine,"The Russo-Ukrainian War is an ongoing war primarily involving Russia, Belarus, and pro-Russian forces on one side, and Ukraine on the other. Armed conflict began in February 2014 in the wake of Euromaidan, centred on the status of Crimea and parts of the Donbas, which are internationally recognised as part of Ukraine. ",UNICEF 2020,3.043
UA,2005.0,,Soviet troops dynamite Ukranian dam,On April 13th the Kiev Hydropower Station on the Dnieper River receives a threat that 40 rail cars filled with explosives had been placed on a portion of levees holding back the reservoir.,Levitsky 2005,3.043
UA,2014.0,,Ukraine accused of cutting water supply,"After Russia annexes Crimea from the Ukraine, they accuse the Ukraine of cutting off the water supply in the North Crimea Canal, leading to a water shortage for Crimea's agricultural fields growing grapes, rice, maize, and soya. The canal delivers water from the Dnieper River in southern Ukraine and accounts for 80% of Crimea's water supply. The Ukraine government denies any political motive for the cut in supply, describing the reduced flow as a temporary result of building a flow structure to measure water deliveries.",British Broadcasting Corporation (BBC) 2014a,3.043
UA,2022.0,,Conflict in Ukraine,"The Russo-Ukrainian War is an ongoing war primarily involving Russia, Belarus, and pro-Russian forces on one side, and Ukraine on the other. Armed conflict began in February 2014 in the wake of Euromaidan, centred on the status of Crimea and parts of the Donbas, which are internationally recognised as part of Ukraine. ",UNICEF 2020,3.043
ZA,2018.0,,Violence breaks out at a line waiting for water at a spring in Cape Town,"Violence breaks out at a line waiting for water at a spring in a neighborhood in Cape Town after severe drought leaves the city with dwindling water supplies. After restrictions were imposed in early 2018, citizens have taken to collecting water from local springs, which are not counted in their water restrictions. In response to this violence, guards are posted at the spring and restrictions put on how much water can be collected.",Schlanger 2018,2.405
ZA,2017.0,,Demonstration over access to clean drinking water turns violent.,A demonstration led by locals from the northwest village of Moeka for clean drinking water turns violent. One protester is shot and killed and several homes are destroyed.,Raleigh et al 2010 ID. 302462,2.405
ZA,2017.0,,Protests over water shortages turn violent,Residents protesting against water shortages are reported to have burned water tanks meant to help alleviate the problem.,Raleigh et al 2010 ID. 302517,2.405
ZA,2017.0,,Residents in a violent protest over water shortages in South Africa,"Residents of Msinga, Umzinyathi, KwaZulu-Natal, South Africa, protesting against water shortages, block roads, target vehicles with stones, loot shops, and shoot at police.",Raleigh et al 2010 ID. 302809,2.405
ZA,2017.0,,Residents and police clash over lack of access to water in South Africa,"Residents of Bushbuckridge, Ehlanzeni, Mpumalanga, South Africa, who claim to have asked for water for three years, stage a protest, including burning tires. Police respond to the protest, firing rubber bullets.",Raleigh et al 2010 ID. 302922,2.405
ZA,2017.0,,"Illegal water connections contribute to fight between citizen groups, South Africa","Two citizen groups fight two days in a row over allegedly illegal water and electricity connections in the City of Tshwane, Gauteng, South Africa.","Raleigh et al 2010 ID. 302953, 302946",2.405
ZA,2017.0,,Violence erupts during protests over lack of clean water in South Africa,"Residents protesting road conditions and lack of clean water are dispersed by police with teargas in Matatiele, Alfred Nzo, Eastern Cape, South Africa. The protest tactics were reported to include blocking roads with burning tires and large boulders.",Raleigh et al 2010 ID. 303159,2.405
ZA,2017.0,,"Protest over water outages, power cuts, and fees turns violent","Students lead a campus protest at a university over water outages, power cuts, and fees in Nkonkobe, Amathole, Eastern Cape, South Africa. The protest turns violent and the campus is shut down.",Raleigh et al 2010 ID. 303271,2.405
ZA,2016.0,,Opposition leader killed after opposing threats to land and water,Environmental activist and opposition leader Sikhosiphi Radebe in South Africa is murdered after opposing industrial mining development that threatened community water and land.,Schneider 2016b,2.405
ZA,2016.0,,"A severe drought sparked ""water riots"" in Northern KwaZulu-Natal","A severe drought in Northern KwaZulu-Natal sparks ""water riots' in the town of Jozini over access to water and in opposition to the installation of water meters. Violence erupts after a community protest, leading to the arrest of 23 people.",Stolley 2016,2.405
ZA,2014.0,,Protests over water shortages in South Africa turn violent,At least four people are killed in South Africa during protests over water shortages in the northern town of Brits.,Sky News 2014,2.405
ZA,2012.0,,South Africans riot over water and power,"Protesters in poor communities of Cape Town, South Africa riot over inadequate water and power. Hundreds burn tires, destroy cars, and throw rocks at police in anger over the lack of basic services.",Xinhua News 2012b,2.405
ZA,2004.0,,Violent protests in South Africa,"Poor delivery of water and sanitation services in Phumelela Township leads to several months of protests. No one is killed during the protests, but a few people are seriously injured, and municipal property is damaged.",Centre for Development and Enterprise (CDE) 2007,2.405
ZA,2004.0,,Protesters blockade a road over installation of pre-paid water meters,Members of the Soweto Electricity Crisis Committee blockade a road in their city in protest of the installation of pre-paid water meters in their homes. Police use stun-guns to disperse them.,"Raleigh et al N.D. I.D. 4985178, 4985270",2.405
ZA,2002.0,,South African intelligence agency reports discovery of a plot by far right-wing nationalists to kill millions of black South Afr,A major plot to kill millions of black South Africans living in the townships near Johannesburg is discovered by the South African National Intelligence Agency. The attackers are a group of far right-wing white South Africans. Their plans consist of contaminating water supplies by pouring an agricultural chemical into reservoirs that supply four townships.,Mohtadi and Murshid 2006,2.405
ZA,2002.0,,Protests over insufficient free water,Members and supporters of the ANC protest over insufficient free water and electricity in South Africa.,Raleigh et al N.D. I.D. 4994545,2.405
ZA,2001.0,,Residents riot over cut of water supplies,Residents riot when city officials cut of water supplies to 1000 homes who are defunct on their payment. Police move in and disperse the crowd with rubber bullets.,Raleigh et al N.D. I.D. 4996607,2.405
ZA,1999.0,,Bomb plot at South Africa reservoir,A home-made bomb is discovered at a water reservoir at Wallmansthal near Pretoria. It is thought to have been meant to sabotage water supplies to farmers.,Pretoria Dispatch Online 1999,2.405
ZA,1997.0,,Protests against plans to privatise water and sanitation services,"Congress of South African Trade Unions, South African Municipal Workers Union and the South African Communist Party marched on the Nelspruit council to protest against plans to privatise water and sanitation services.",Raleigh et al N.D. I.D. 5569692,2.405
ZA,1990.0,,South Africa cuts off black community's water,"Pro-apartheid council cuts off water to the Wesselton township of 50,000 blacks following protests over miserable sanitation and living conditions.",Gleick 1993,2.405
AL,2001.0,,Fight over control of a water supply reservoir,"Macedonians and native Albanians in the border village of Radusa fight to control the water reservoir that supplies water to Skopje, the nation's capital.",Fisher 2001,1.745
AL,2005.0,,Bomb destroys power source for local water system,"A bomb explodes in the Margegaj village of Tropoj? District in Albania, destroying a power source for the local water system. Several villages are left without water.",RAND Database of Worldwide Terrorism Incidents 2018,1.745
AL,1998.0,,Attacks on water supplies during the Kosovo War leave tens of thousands without water,"During the Kosovo War (February 1998-June 1999), several attacks over the course of two days leave tens of thousands of Albanians without water. The first attack on February 21, 1998 destroys a main waterline for the town of Kuk?s, Albania and 15 other villages. The second attack happens on February 22, 18 km away at Kolesjan village.",RAND Database of Worldwide Terrorism Incidents 2018,1.745
AL,1998.0,,"Water supply to Kukes, Albania and surrounding villages is shut off after an unnamed chemical agent is discovered","A chemical agent is discovered in the main waterline supplying the city of Kukes, Albania. The water supply is shut-off, impacting Kukes and the surrounding villages.",Mohtadi and Murshid 2006,1.745
SO,2018.0,,"Al Shabaab diverts a river, forcing opposition to undefendable higher ground","Al Shabaab, a group fighting to create an Islamic state in Somalia, diverts water from the Jubba River, causing a flood that forced Somali, Kenyan, and U.S. military forces to move to higher ground where they were later ambushed. One soldier from the U.S. was killed in the ambush.",Goldbaum 2018,3.036
SO,2017.0,,Fight breaks out over access to water storage tank,A fight breaks out between two militias over a dispute concerning an underground water storage tank.,Raleigh et al 2010 ID. 291143,3.036
SO,2017.0,,"Water well is poisoned in Somalia, killing more than 30 people","Thirty-two people are reported killed and many others sickened from a poisoned water well in Masuubiye, Baidoa, Somalia. It is suspected that the well was poisoned by al Shabaab, a militant group affiliated with Al-Qaeda, in an attempt to prevent government soldiers from drinking the water.",Ikeji 2017,3.036
SO,2017.0,,"Water for the Bari community, Somalia, cut off",Water for the Bari community in Somalia is cut off during a violent confrontation between militants that reportedly support Islamic State and Puntland security forces.,Raleigh et al 2010 ID. 291306,3.036
SO,2017.0,,Ethiopian troops reportedly attack a water source in Somalia,"Troops from Ethiopia reportedly attack a water source used by al Shabaab, leading to further fighting, in Bulo Burto, Hilraan, Somalia.",Raleigh et al 2010 ID. 291997,3.036
SO,2017.0,,"Two people killed in fight over control of water well, Somalia","Two people are killed when local clans fight over control of a water point in Galkayo, Mudug, Somalia.",Raleigh et al 2010 ID. 292212,3.036
SO,2017.0,,Gunfire exchanged during a water dispute,"Gunfire is exchanged between a soldier and a local resident due to a water dispute in Qandala, Bari, Somalia. Both parties are wounded.",Raleigh et al 2010 ID. 293548,3.036
SO,2017.0,,One killed in dispute over access to a water well,"Two men from within the same clan get in a violent dispute over a well and the water supply in the village of Buundo Weyn, Beledweyne, Hiiraan, Somalia. One of the men shoots the other, killing him.",Raleigh et al 2010 ID. 293830,3.036
SO,2017.0,,Conflict over water between two clans in Somalia kill at least 14 people,"A conflict between two clans that started over the use of water and pastureland leaves at least 14 people dead and 50 others injured in Garowe, Nugaal, Somalia. Sources differ on the number of dead and the date of the violent clash.",Raleigh et al 2010 ID. 293947,3.036
SO,2016.0,,Water wells attacked in Somalia,Two wells are attacked by militia thought to be part of Al-Shaabab.,National Consortium for the Study of Terrorism and Responses to Terrorism (START) 2018 ID. 201605140030,3.036
SO,2015.0,,"In Somalia, dozens killed in local land and water dispute","Dozens are killed in clan-related violence in Somalia's Hiran region. Sources say the violence is related to tensions over access to water and pasture, as well as local politics.",Agence France-Presse (AFP) 2015a,3.036
SO,2014.0,,Levees along the Shebelle river are destroyed,"Levees are destroyed along the Shebelle River in Somalia, in an attempt, sources claim, to make roads unusable by military forces. The attack is attributed to Al-Shabaab.",National Consortium for the Study of Terrorism and Responses to Terrorism (START) 2018 ID. 201409010003,3.036
SO,2013.0,,Demonstrators killed during protests over water shortages in Somaliland,At least two demonstrators are killed and others wounded when protests against water shortages are broken up by police firing live bullets. The shortages were caused by a work stoppage by private water vendors protesting new taxes.,Hasan 2013,3.036
SO,2013.0,,Village water well destroyed in Somalia,The water well for a village in the Bay region is destroyed by an attack attributed to Al-Shabaab.,National Consortium for the Study of Terrorism and Responses to Terrorism (START) 2018 ID. 201312020003,3.036
SO,2012.0,,Somali insurgents poison peacekeepers' well,"Somali Al Shabaab insurgents poison a well and damage water infrastructure near the port city of Kismayo, Somalia. Insurgents are fighting against Kenyan peacekeeping troops participating in the African Union mission in Somalia.",Wabala 2012,3.036
SO,2012.0,,Three killed in dispute over wells in Somalia,"In August 2012, fighting between two clans in the Lower Juba region of south Somalia kills at least three people and wounds five. Reports from the village of Waraq (near the border with Kenya) indicate that the dispute began over the ownership of new water wells.",Shabelle Media Network 2012,3.036
SO,2012.0,,A landmine explodes targeting a tanker providing water to Transitional Federal Government (TFG) soldiers,"A landmine explodes in Luuq town, Gedo Region, Somalia. The landmine is targeting a tanker providing water to Transitional Federal Government (TFG) soldiers. Three people are killed and an unknown number of people are injured in the attack. No group claims responsibility for the incident, although unnamed sources suspect Al-Shabaab.",National Consortium for the Study of Terrorism and Responses to Terrorism (START) 2018. ID. 201201150014,3.036
SO,2012.0,,"Attackers shoot at and set fire to the town's water pump, destroying the only viable water source","Assailants attack the police station in El Adde town, Gedo region, Somalia. The assailants open fire on the station, causing the Transitional Federal Government (TFG) forces posted there to return fire. There are no reported casualties in the incident. The attackers also shoot at and set fire to the town's water pump, destroying the only viable water source. No group claims responsibility, but locals attribute the attack to Al-Shabaab, believing that the incident is prompted by the presence of Kenyan Defense Forces (KDF) in the town.",National Consortium for the Study of Terrorism and Responses to Terrorism (START) 2018. ID. 201206030027,3.036
SO,2011.0,,Militants set fire to a water well and two water pumps,"On Saturday, on the outskirts of Garbaharey, Gedo, Somalia, militants set fire to a water well and two water pumps. No casualties are reported and the attack causes an unknown amount of damage. No group claims responsibility, but the militant group al-Shabaab is thought to be responsible for the attack.",National Consortium for the Study of Terrorism and Responses to Terrorism (START) 2018. ID. 201108270005,3.036
SO,2009.0,,Police use ammunition against demonstrators protesting water shortages in Somaliland,"Police use live ammunition against demonstrators in the southern part of Hargeisa. Residents of Ahmed Dhagah district in Hargeisa, mostly women and children, take to the streets protesting severe water shortages.",Somaliland Globe 2009,3.036
SO,2008.0,,Riots break out in Somaliland when water drilling rig is removed,Riots break out after a water drilling rig that had been drilling water wells for one community in the capital is transferred by government authorities to the western part of the country. Five people died and fifteen are wounded in the demonstration.,Jama 2014,3.036
SO,2008.0,,Water aid workers kidnapped,"Five aid workers, employed by the charity Water for Life, are kidnapped at gunpoint in Somalia. This is one of the first instances of Somali natives being kidnapped, as well as one of the first instances of a woman being kidnapped.",RAND Database of Worldwide Terrorism Incidents 2018,3.036
SO,2005.0,,Marehan and Garre clans clash over land and water rights in Somalia,"The Marehan and Garre clans clash over land and water rights, with 34 fatalities.",Salehyan et al 2014,3.036
